lat_diff,lon,tag,error,lat,type,lon_diff
0.007244099999994091,-79.3790159,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6161559,node,0.09751590000000476
0.006987199999997529,-79.3783869,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6164128,node,0.09688690000000122
0.005379399999995371,-79.3770995,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6180206,node,0.09559950000000583
0.005193599999998355,-79.3770510,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6182064,node,0.09555100000000039
0.00507689999999883,-79.3768869,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6183231,node,0.09538690000000827
0.004885099999995646,-79.3766004,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6185149,node,0.09510040000000686
0.004797299999999893,-79.3761065,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6186027,node,0.0946065000000118
0.004773399999997707,-79.3758384,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6186266,node,0.09433840000001226
0.0049033999999963385,-79.3747961,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6184966,node,0.09329610000000343
0.004477599999994197,-79.3739195,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6189224,node,0.09241950000000543
0.004314899999997124,-79.3735853,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6190851,node,0.09208530000000792
0.0045270999999971195,-79.3731040,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6188729,node,0.0916040000000038
0.004479599999996253,-79.3730107,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6189204,node,0.09151070000000061
0.004578999999999667,-79.3729254,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6188210,node,0.09142540000000565
